,Characters,Dialogue
72,Poe Dameron ,Okay same principle. Use the toggle on the left... to switch between missiles cannons and mag pulse.  Use the sight on the right to aim. Triggers to fire.
73,Finn (FN-2187),This is very complicated.
74,Poe Dameron ,I can fix this.
75,Some Guy,We have an unsanctioned departure from bay two. 
76,Captain,Alert General Hux. And stop that fighter.
77,Officer,Fourteen failed. Eighteen...
78,Poe Dameron ,I got it. Woah! This thing really moves. We gotta take out as many of these cannons as we can...or we're not gonna get very far.
79,Finn (FN-2187),All right.
80,Poe Dameron ,I'm gonna get us in position. Just stay sharp. Up ahead! Up ahead! You see it? I got us dead center. It's a clean shot.
81,Finn (FN-2187),Okay got it. Yeah!
82,Poe Dameron ,Yes!
83,Finn (FN-2187),Did you see that? Did you see that?
84,Poe Dameron ,I saw it! Hey what's your name?
85,Finn (FN-2187),FN-2187.
86,Poe Dameron ,F... What?
87,Finn (FN-2187),That's the only name they ever gave me.
88,Poe Dameron ,Well I ain't using it. F-N huh? Finn. I'm gonna call you Finn. Is that all right?
89,Finn (FN-2187),Finn. Yeah. Finn I like that. I like that.
90,Poe Dameron ,I'm Poe. Poe Dameron. 
91,Finn (FN-2187),Good to meet you Poe.
92,Poe Dameron ,Good to meet you too Finn.
93,Captain,Sir they've taken out our turbo lasers.
94,General Hux,Use the ventral cannons.
95,Captain,Yes sir. Bringing them online.
96,Kylo Ren,General Hux is it the Resistance pilot?
97,General Hux,Yes and he had help... from one of our own. We're checking the registers now... to identify which stormtrooper it was.
98,Kylo Ren,The one from the village. FN-2187.
99,Captain,Sir ventral cannons hot.
100,General Hux,Fire.
101,Poe Dameron ,One's coming toward you! My right. Your left. Do you see it?
102,Finn (FN-2187),Hold on. I see him!
103,Poe Dameron ,Nice shot!
104,Finn (FN-2187),Where are we going?
105,Poe Dameron ,We're going back to Jakku. That's where.
106,Finn (FN-2187),No. We can't go back to Jakku. We need to get out of this system.
107,Poe Dameron ,I gotta get my droid before the First Order does.
108,Finn (FN-2187),What a droid?
109,Poe Dameron ,That's right. He's a BB unit orange and white. One of a kind.
110,Finn (FN-2187),I don't care what color he is! No droid can be that important.
111,Poe Dameron ,This one is pal!
112,Finn (FN-2187),We gotta get as far away from the First Order as we can. We go back to Jakku we die.
113,Poe Dameron ,That droid has a map that leads straight to Luke Skywalker.
114,Finn (FN-2187),Oh you gotta be kidding me!
115,Phasma,FN-2187 reported to my division... was evaluated and sent to reconditioning.
116,General Hux,No prior signs of nonconformity?
117,Phasma,This was his first offense.
118,Officer,General! They've been hit.
119,General Hux,Destroyed?
120,Officer,Disabled. They were headed back to Jakku. The fighter is projected to crash in the Goazon badlands.
121,General Hux,They were going back for the droid. Send a squad to the wreckage.
122,Finn (FN-2187),Poe! Poe! Poe! Poe! I got you. Poe!
123,General Hux,Supreme Leader Snoke was explicit. Capture the droid if we can but destroy it if we must.
124,Kylo Ren,How capable are your soldiers General?
125,General Hux,I won't have you question my methods.
126,Kylo Ren,They're obviously skilled at committing high treason. Perhaps Leader Snoke should consider using a clone army.
127,General Hux,My men are exceptionally trained. Programmed from birth.
128,Kylo Ren,Then they should have no problem retrieving the droid. Unharmed.
129,General Hux,Careful Ren that your personal interests not interfere with orders from Leader Snoke.
130,Kylo Ren,I want that map. For your sake... I suggest you get it.
131,Finn (FN-2187),Water. Water. Water. Is there water?
132,Rey,What? Oi get off him!
133,Finn (FN-2187),Hey!
134,Rey,They work for Unkar. That guy that wanted you. He must have really wanted you. Who? Him? What's your hurry thief?
135,Finn (FN-2187),What? Thief? Ow! Hey what?
136,Rey,The jacket. This droid says you stole it.
137,Finn (FN-2187),I've had a pretty messed up day all right? So I'd appreciate it... if you stop accusing me of... Ow! Stop it!
138,Rey,Where'd you get it? It belongs to his master.
139,Finn (FN-2187),It belonged to Poe Dameron. That was his name right? He was captured by the First Order. I helped him escape but our ship crashed. Poe didn't make it. I tried to help him. I'm sorry.
140,Rey,So you're with the Resistance?
141,Finn (FN-2187),Obviously. Yes I am. I'm with the Resistance yeah. I am with the Resistance.
142,Rey,I've never met a Resistance fighter before.
143,Finn (FN-2187),Well this is what we look like.  Some of us. Others look different.
144,Rey,BB-8 says he's on a secret mission. He has to get back to your base.
145,Finn (FN-2187),Apparently he has a map that leads to Luke Skywalker and everyone's after it.
146,Rey,Luke Skywalker? I thought he was a myth. What? What are you doing?
147,Finn (FN-2187),Come on. Come on BB-8!
148,Rey,Let go of me!
149,Finn (FN-2187),Come on we gotta move!
150,Rey,I know how to run without you holding my hand! BB-8 stay close! This way.
151,Storm Trooper,Call in the air strike.
152,Finn (FN-2187),Come on!
153,Rey,They're shooting at both of us.
154,Finn (FN-2187),Yeah. They saw you with me. You're marked.
155,Rey,Well thanks for that.
156,Finn (FN-2187),I'm not the one who chased you down with a stick. Does anyone have blasters around here?
157,Rey,Are you okay? Stop taking my hand! Hey-
158,Finn (FN-2187),Are you okay?
159,Rey,Yeah. Follow me.
160,Finn (FN-2187),We can't outrun them! 
161,Rey,We might... in that quadjumper!
162,Finn (FN-2187),Hey we need a pilot!
163,Rey,We've got one.
164,Finn (FN-2187),You? Uh what about that ship?
165,Rey,That one's garbage! The garbage will do. Gunner position is down there!
166,Finn (FN-2187),You ever fly this thing?
167,Rey,No! This ship hasn't flown in years.
168,Finn (FN-2187),Great. Whoa. I can do this. I can do this.
169,Rey,I can do this. I can do this.
170,Unkar,Hey! That's mine!
171,Finn (FN-2187),Wait stay low! Hey stay low!
172,Rey,What?
173,Finn (FN-2187),Stay low! It confuses their tracking.
174,Rey,BB-8 hold on! I'm going low! What are you doing back there? Are you ever gonna fire back?
175,Finn (FN-2187),I'm working on it! Are the shields up?
176,Rey,Not so easy without a co-pilot!
177,Finn (FN-2187),Try sitting in this thing. We need cover quick!
178,Rey,We're about to get some! I hope.
179,Finn (FN-2187),Damn it! Come on come on!
180,Rey,Nice shot!
181,Finn (FN-2187),I'm getting pretty good at this. Uh the cannon's stuck in forward position. I can't move it. You gotta lose him!
182,Rey,Get ready!
183,Finn (FN-2187),Okay. For what? Are we really doing this?
184,Rey,Oh no.
185,Finn (FN-2187),Whoo!
186,Rey,Nice shooting.
187,Finn (FN-2187),Now that was some flying.
188,Rey,Thanks.
189,Finn (FN-2187),How did you do that?
190,Rey,I don't know.
191,Finn (FN-2187),No one trained you?
192,Rey,I've flown some ships but I've never left the planet. Your last shot was dead-on.
193,Finn (FN-2187),That was amazing.
194,Rey,You got him with one blast!
195,Finn (FN-2187),You set me up for it.
196,Rey,It was perfect.
197,Finn (FN-2187),That was pretty good.
198,Rey,You're okay. He's with the Resistance. He's gonna get you home. We both will. I don't know your name.
199,Finn (FN-2187),Finn. What's yours?
200,Rey,I'm Rey.
201,Finn (FN-2187),Rey...
202,Rey,Help me with this. Quick!
203,Finn (FN-2187),Whoa what's going on?
204,Officer,Sir... we were unable to acquire the droid on Jakku. It escaped capture...aboard a stolen Corellian YT model freighter.
205,Kylo Ren,The droid... stole a freighter?
206,Officer,Not exactly sir. It had help. We have no confirmation... but we believe FN-2187 may have helped in the escape.
207,Kylo Ren,Anything else?
208,Officer,The two were accompanied by a girl.
209,Kylo Ren,What girl?
210,Rey,It's the motivator. Grab me a Harris wrench check in there.
211,Finn (FN-2187),How bad is it?
212,Rey,If we wanna live not good.
213,Finn (FN-2187),They're hunting for us now. We've gotta get out of this system!
214,Rey,"BB-8 said the location of the Resistance base... is ""need to know"". If I'm taking you there I need to know!"
215,Finn (FN-2187),This? You gotta tell us where your base is. I don't speak that. All right between us... I'm not with the Resistance okay?  I'm just trying to get away from the First Order. But you tell us where the base is... I'll get you there first. Deal? Droid please!
216,Rey,Pilex driver hurry. So where's your base?
217,Finn (FN-2187),Go on BB-8 tell her. Please.
218,Rey,The lleenium system?
219,Finn (FN-2187),Yeah the lleenium system. That's the one. Get us there as fast as you can.
220,Rey,I'll drop you two at Ponemah Terminal. I need the bonding tape hurry!
221,Finn (FN-2187),What about you? 
222,Rey,I gotta get back to Jakku.
223,Finn (FN-2187),Back to Jak... Why does everyone wanna go back to Jakku?
224,Rey,It's not that one. No. No.
225,Finn (FN-2187),That place is...
226,Rey,The one I'm pointing to. No. No. No! If we don't patch it up...  the propulsion tank will overflow... and flood the ship with poisonous gas!
227,Finn (FN-2187),This?
228,Rey,Yes.
229,Finn (FN-2187),Hey Rey you're a pilot. You can fly anywhere. Why go back? You got a family? You got a boyfriend? A cute boyfriend?
230,Rey, of your business that's why.
231,Finn (FN-2187),That can't be good.
232,Rey,No it can't be. Someone's locked on to us. All controls are overridden.  Get off! Get off! See anything?
233,Finn (FN-2187),Oh no. It's the First Order.
234,Rey,What do we do? There must be something.
235,Finn (FN-2187),You said poisonous gas.
236,Rey,I fixed that.
237,Finn (FN-2187),Can you unfix it?
238,Rey,Come on BB-8.
239,Finn (FN-2187),I got him. I'm okay. 
240,Rey,Do you think this will work on the stormtroopers?
241,Finn (FN-2187),Yeah. Their masks filter out smoke not toxins. Hurry. I'm hurrying.
242,Han Solo,Chewie... we're home. Where are the others? Where's the pilot?
243,Rey,I'm the pilot.
244,Han Solo,You?
245,Rey,No it's true. We're the only ones on board.
246,Finn (FN-2187),You can understand that thing?
247,Han Solo,"And ""that thing"" can understand you too... so watch it. Come on out of there. Where'd you get this ship?"
248,Rey,Niima Outpost.
249,Han Solo,Jakku? That junkyard?
250,Finn (FN-2187),Thank you! Junkyard.
251,Han Solo,Told you we should have double-checked the Western Reaches. Who had it? Ducain?
252,Rey,I stole it. From Unkar Plutt. He stole it from the Irving Boys who stole it from Ducain.
253,Han Solo,Who stole it from me! Well you tell him that Han Solo... just stole back the Millennium Falcon for good.
254,Rey,This is  the Millennium Falcon? You're Han Solo? 
255,Han Solo,I used to be.
256,Finn (FN-2187),Han Solo the Rebellion general?
257,Rey,No the smuggler.
258,Finn (FN-2187),Wasn't he a war hero?
259,Rey,This is the ship that made the Kessel Run in 14 parsecs?
260,Han Solo,Twelve! Fourteen. Hey! Some moof-milker put a compressor on the ignition line.
261,Rey,Unkar Plutt did.  I thought it was a mistake too. Puts too much...
262,Rey / Han,...stress on the hyperdrive.
263,Han Solo,Chewie throw them in a pod. We'll drop them at the nearest inhabited planet.
264,Rey,Wait no. We need your help.
265,Han Solo,My help?
266,Rey,This droid has to get to the Resistance base... as soon as possible.
267,Finn (FN-2187),He's carrying a map to Luke Skywalker. You are the Han Solo that fought with the Rebellion. You knew him.
268,Han Solo,Yeah. I knew him. I knew Luke. Don't tell me a Rathtar's gotten loose.
269,Finn (FN-2187),Wait what? Did you just say Rathtars? Hey! You're not hauling Rathtars on this freighter are you?
270,Han Solo,I'm hauling Rathtars. Oh great. It's the Guavian Death Gang. Must have tracked us from Nantoon.
271,Rey,What's a Rathtar?
272,Han Solo,They're big and they're dangerous.
273,Finn (FN-2187),You ever heard of the Trillia Massacre?
274,Rey,No.
275,Finn (FN-2187),Good.
276,Han Solo,I got three of them going to King Prana.
277,Finn (FN-2187),Three? How'd you get them on board?
278,Han Solo,I used to have a bigger crew. Get below and stay there until I say so... and don't even think about taking the Falcon.
279,Rey,What about BB-8?
280,Han Solo,He stays with me until I get rid of the gang... then you can have him back and be on your way.
281,Finn (FN-2187),What about the Rathtars? Where are you keeping them?
282,Han Solo,There's one.
283,Rey,What are you gonna do?
284,Han Solo,Same thing I always do. Talk my way out of it. Yes I do. Every time.
285,Bala-Tik,Han Solo. You're a dead man.
286,Han Solo,Bala-Tik. What's the problem?
287,Bala-Tik,The problem is we loaned you 5 for this job.
288,Rey,Can you see them?
289,Finn (FN-2187),No.
290,Bala-Tik,I heard you also borrowed 5 from Kanjiklub.
291,Han Solo,You know you can't trust those little freaks.
292,Bala-Tik,How long we known each other?
293,Rey,They have blasters.
294,Finn (FN-2187),A lot of them.
295,Bala-Tik,Not long. We want our money back now.
296,Han Solo,You think hunting Rathtars is cheap? I spent that money.
297,Bala-Tik,Kanjiklub wants their investment back too.
298,Han Solo,I never made a deal with Kanjiklub!
299,Bala-Tik,Tell that to Kanjiklub.
300,Han Solo,Tasu Leech. Good to see you.
301,Han Solo,Boys you're both gonna get what I promised. Have I ever not delivered for you before?
302,Bala-Tik,Yeah.
303,Han Solo,What was the second time?
304,Bala-Tik,Your game is old. There's no one in the galaxy left for you to swindle. That BB unit. The First Order is looking for one just like it. And two fugitives.
305,Han Solo,First I've heard of it.
306,Rey,Wait wait wait. If we close the blast doors in that corridor... we can trap both gangs!
307,Finn (FN-2187),We'll close the blast doors from here?
308,Rey,Resetting the fuses should do it.
309,Han Solo,I got a bad feeling about this.
310,Rey,Oh no.
311,Finn (FN-2187),Oh no what?
312,Rey,Wrong fuses.
313,Bala-Tik,Kill them! And take the droid!
314,Finn (FN-2187),This was a mistake!
315,Rey,Huge! What do they look like?
316,Finn (FN-2187),They look like that. This way.
317,Rey,Are you sure?
318,Finn (FN-2187),No no no!
319,Rey,Finn! Finn!
320,Finn (FN-2187),Rey!
321,Rey,Get Off! Get Off!
322,Finn (FN-2187),Rey!
323,Rey,Finn! Finn!
324,Finn (FN-2187),Get off me! Rey! Get off! Get off!
325,Rey,Finn!
326,Finn (FN-2187),It had me! But the door...
327,Rey,That was lucky.
328,Han Solo,I got the door. Cover us! Chewie! You okay? Wow. Come on! Come on!
329,Rey,Han.
330,Han Solo,You close the door behind us. You take care of Chewie! Hey where are you going?
331,Rey,Unkar Plutt installed a fuel pump too.  If we don't prime that we're not going anywhere.
332,Han Solo,I hate that guy.
333,Rey,And you could use a co-pilot.
334,Han Solo,I got one he's back there. Watch the thrust. We're going out of here at lightspeed.
335,Rey,From inside the hangar? Is that even possible?
336,Han Solo,I never ask that question till after I've done it. This is not how I thought this day was gonna go. Angle the shield. Hang on back there.
337,Finn (FN-2187),No problem!
338,Han Solo,Come on baby don't let me down. What?
339,Rey,Compressor.
340,Bala-Tik,Inform the First Order...  that Han Solo has the droid they want. And it's  aboard the Millennium Falcon.
341,Snoke,The droid will soon be delivered to the Resistance... leading them to the last Jedi. If Skywalker returns... the new Jedi will rise.
342,General Hux,Supreme Leader I take full responsibility...
343,Snoke,General! Our strategy must now change.
344,General Hux,The weapon. It is ready. I believe the time has come to use it.  We shall destroy the government... that supports the Resistance... the Republic.  Without their friends to protect them... the Resistance will be vulnerable. And we will stop them before they reach Skywalker.
345,Snoke,Go. Oversee preparations.
346,General Hux,Yes Supreme Leader.
347,Snoke,There has been an awakening. Have you felt it?
348,Kylo Ren,Yes.
349,Snoke,There's something more. The droid we seek is aboard the Millennium Falcon. In the hands of your father... Han Solo.
350,Kylo Ren,He means nothing to me.
351,Snoke,Even you master of the Knights of Ren... have never faced such a test.
352,Kylo Ren,By the grace of your training I will not be seduced.
353,Snoke,We shall see. We shall see.
354,Han Solo,Electrical overload.
355,Rey,I can fix that.
356,Han Solo,Coolant's leaking.
357,Rey,Try transferring auxiliary power...
358,Rey / Han,...to the secondary tank.
359,Han Solo,I got it.
360,Finn (FN-2187),Chewie come on! I need help with this giant hairy thing! Stop moving! Chewie!
361,Han Solo,You hurt Chewie you're gonna deal with me! 
362,Finn (FN-2187),Hurt him? He almost killed me six times! Which is fine!
363,Han Solo,This hyperdrive blows there are gonna be pieces of us in three different systems. What'd you do?
364,Rey,I bypassed the compressor.
365,Han Solo,Huh. Move ball. Ah don't say that. You did great. Just rest. Good job kid. Thanks.
366,Finn (FN-2187),You're welcome.
367,Han Solo,So... fugitives huh?
368,Rey,The First Order wants the map. Finn is with the Resistance. I'm just a scavenger.
369,Han Solo,Let's see what you got.
370,Rey,Go ahead.
371,Han Solo,This map's not complete. It's just a piece. Ever since Luke disappeared  people have been looking for him.
372,Rey,Why did he leave?
373,Han Solo,He was training a new generation of Jedi.  One boy an apprentice... turned against him destroyed it all. Luke felt responsible. He just walked away from everything.
374,Finn (FN-2187),Do you know what happened to him?
375,Han Solo,A lot of rumors. Stories. People that knew him best... think he went looking for the first Jedi temple. Think he went looking for the first Jedi temple.
376,Rey,The Jedi were real?
377,Han Solo,I used to wonder about that myself. Thought it was a bunch of mumbo-jumbo. A magical power holding together good and evil... the dark side and the light. Crazy thing is... it's true. The Force. The Jedi. All Of it. It's all true. No you rest. You want my help? You're getting it. Gonna see an old friend. She'll get your droid home. This is our stop.
378,Rey,I didn't know there was this much green in the whole galaxy.
379,Finn (FN-2187),Hey Solo I'm not sure what we're walking into here...
380,Han Solo,Did you just call me Solo?
381,Finn (FN-2187),Sorry. Han. Mr.  You should know I'm a big deal in the Resistance.  Which puts a real target on my back. Are there any conspirators here? Like First Order sympathizers?
382,Han Solo,Listen Big Deal. You got another problem. Women always figure out the truth. Always. You might need this.
383,Rey,I think I can handle myself.
384,Han Solo,I know you do. That's why I'm giving it to you. Take it. You know how to use one of those?
385,Rey,Yeah. You pull the trigger.
386,Han Solo,Little bit more to it than that. You got a lot to learn. You got a name?
387,Rey,Rey
388,Han Solo,Rey. I been thinking about bringing on some more crew Rey. A second mate. Someone to help out. Someone who can keep up with Chewie and me... appreciates the Falcon.
389,Rey,Are you offering me a job?
390,Han Solo,I wouldn't be nice to you. Doesn't pay much.
391,Rey,You're offering me a job.
392,Han Solo,I'm thinking about it. Well?
393,Rey,If you were I'd be flattered. But I have to get home.
394,Han Solo,Where Jakku?
395,Rey,I've already been away too long.
396,Han Solo,Chewie check out the ship as best you can. That's too bad. Chewie kind of likes you.
397,Finn (FN-2187),Solo why are we here again? 
398,Han Solo,To get your droid on a clean ship.
399,Rey,Clean?
400,Han Solo,You think it was luck that Chewie and I found the Falcon?  If we can find it on our scanners... the First Order's not far behind. Wanna get BB-8 to the Resistance? Maz Kanata's our best bet.
401,Finn (FN-2187),We can trust her right?
402,Han Solo,Relax kid. She's run this watering hole for a thousand years. Maz is a bit of an acquired taste... so let me do the talking. And whatever you do don't stare.
403,Rey / Finn,At what?
404,Han Solo,Any of it.
405,Maz Kanata,Han Solo!
406,Han Solo,Oh boy. Hey Maz.
407,Maz Kanata,Where's my boyfriend?
408,Han Solo,Chewie's working on the Falcon.
409,Maz Kanata,I like that Wookiee. I assume you need something. Desperately. Let's get to it.
410,Kylo Ren,Forgive me.  I feel it again. The pull to the light. Supreme Leader senses it. Show me again. The power of the darkness. And I will let nothing stand in our way. Show me... Grandfather...  and I Will finish... what you started.
411,Maz Kanata,A map. To Skywalker himself? You are right back in the mess.
412,Han Solo,Maz I need you to get this droid to Leia. 
413,Maz Kanata,Hmm... No. You've been running away from this fight for too long. Han. Go home.
414,Han Solo,Leia doesn't wanna see me.
415,Finn (FN-2187),Please we came here for your help.
416,Rey,What fight?
417,Maz Kanata,The only fight. Against the dark side. Through the ages... I've seen evil take many forms. The Sith. The Empire. Today it is the First Order. Their shadow is spreading across the galaxy. We must face them. Fight them. All of us.
418,Finn (FN-2187),There is no fight against the First Order. Not one we can win. Look around. There's no chance we haven't been recognized already. I bet you the First Order is on their way right...  What's this? What are you doing? Solo what is she doing?
419,Finn (FN-2187),I don't know. But it ain't good.
420,Maz Kanata,If you live long enough...   you see the same eyes in different people. I'm looking at the eyes of a man who wants to run.
421,Finn (FN-2187),You don't know a thing about me. Where I'm from. We all need to run. What I've seen. You don't know the First Order like I do. They'll slaughter us. We all need to run.
422,Maz Kanata,Hmm. You see those two? They'll trade work for transportation... to the Outer Rim. There you can disappear.
423,Rey,Finn?
424,Finn (FN-2187),Come with me.
425,Rey,What about BB-8? We're not done yet. We have to get him back to your base.
426,Finn (FN-2187),I can't.
427,Han Solo,Keep it kid.
428,Maz Kanata,Who's the girl?
429,Finn (FN-2187),I was told you can get me to the Outer Rim.
430,Rey,What are you doing? 
431,Finn (FN-2187),Don't leave without me.
432,Rey,You can't just go. I won't let you.
433,Finn (FN-2187),I'm not who you think I am.
434,Rey,Finn what are you talking about?
435,Finn (FN-2187),I'm not Resistance. I'm not a hero. I'm a stormtrooper. Like all of them I was taken from a family I'll never know. And raised to do one thing. But my first battle I made a choice. I wasn't gonna kill for them. So I ran. Right into you. And you looked at me  like no one ever had. I was ashamed of what I was. But I'm done with the First Order. I'm never going back. Rey come with me. 
436,Rey,Don't go.
437,Finn (FN-2187),Take care of yourself. Please.
438,Rey,No! 
439,Yoda,Its energy...  surrounds us... and binds us...
440,Obi Wan,The Force will be...
441,Rey,No! Come back!
442,Unkar,Quiet girl.
443,Obi Wan,Rey? These are your first steps.
444,Rey,What was that? I shouldn't have gone in there.
445,Maz Kanata,That lightsaber was Luke's. And his father's before him. And now it calls to you.
446,Rey,I have to get back to Jakku. 
447,Maz Kanata,Han told me. Dear child. I see your eyes. You already know the truth. Whomever you're waiting for on Jakku... they're never coming back. But... there's someone who still could. 
448,Rey,Luke. 
449,Maz Kanata,The belonging you seek is not behind you... it is ahead. I am no Jedi but I know the Force.  It moves through and surrounds every living thing.  Close your eyes. Feel it. The light... it's always been there. It will guide you. The saber. Take it.
450,Rey,I'm never touching that thing again. I don't want any part of this.
451,Maz Kanata,Hmm.
452,General Hux,Today is the end of the Republic. The end of a regime that acquiesces to disorder. At this very moment in a system far from here... the New Republic lies to the galaxy... while secretly supporting the treachery... of the loathsome Resistance. This fierce machine which you have built upon which we stand will bring an end to the Senate! To their cherished fleet!  All remaining systems will bow to the First Order! And will remember this as the last day of the Republic!
453,Officer,Confirm transfer to manual control. Configure!
454,General Hux,Fire!
455,Citizen,No. What is it? 
456,Finn (FN-2187),It was the Republic. The First Order they've done it. Where's Rey?
457,Rey,What are you doing? You have to go back. I'm leaving. BB-8... No you can't. You have to go back you're too important. They'll help you.
458,Maz Kanata,I've had this for ages. Kept it locked away.
459,Han Solo,Where'd you get that?
460,Maz Kanata,A good question. For another time. Take it. Find your friend! Those beasts. They're here.
461,Storm Trooper,FN-417 hold position.
462,Rey,Oh safety.
463,Storm Trooper,Sir. The droid was spotted heading west. With a girl.
464,Rey,You have to keep going. Stay out of sight. I'll try to fight them off. I hope so too.
465,Han Solo,Come on Chewie!
466,Rey,Rey and BB-8! They need you! Now! Go!
467,Finn (FN-2187),I need a weapon!
468,Maz Kanata,You have one!
469,Han Solo,Hey can I try that? I like this thing.
470,Storm Trooper,Traitor!
471,Han Solo,You okay Big Deal?
472,Finn (FN-2187),Thanks.
473,Storm Trooper,Don't move- TK-338 we have targets in custody.
474,Storm Trooper 2,We have incoming at 28. 6.
475,Storm Trooper 3,Move! Move! Move! Scramble all squads repeat scramble all squads! Head to higher cover and wait for our position! It's the Resistance.
476,Poe Dameron ,Go straight at them! Don't let these dogs scare you!
477,Unknown Lady,Copy that.
478,Unknown Man,We're with you Poe.
479,Han Solo,Quick!
480,Finn (FN-2187),Whoo! Yeah! That's one hell of a pilot!
481,Poe Dameron ,Whoo-hoo!
482,Kylo Ren,The girl I've heard so much about. The droid. Where is it?
483,Storm Trooper,Request air support.
484,Kylo Ren,The map. You've seen it.
485,Storm Trooper,Sir Resistance fighters. We need more troops.
486,Kylo Ren,Pull the division out. Forget the droid. We have what we need.
487,Storm Trooper,Pull back to tree line!
488,Finn (FN-2187),No! No no! No! No! Rey! He took her. Did you see that? He took her. She's gone.
489,Han Solo,Yeah I know.
490,Commander,Let's go! 
491,C-3PO,Goodness! Han Solo! It is I C-3PO. You probably don't recognize me... because of the red arm. Look who it is did you see who... Uh... Hmm. Excuse me Prin... General. Sorry. Come along BB-8 quickly. Yes I must get my proper arm reinstalled.
492,Han Solo,You changed your hair.
493,Leia,Same jacket.
494,Han Solo,No new jacket. I saw him. Leia I saw our son. He was here.
495,Poe Dameron ,BB-8 my buddy. Oh it's so good to see you. Finn saved you? Where is he?
496,Finn (FN-2187),Poe?
497,Poe Dameron ,Oh No.
498,Finn (FN-2187),Poe Dameron you're alive?
499,Poe Dameron ,Buddy! So are you!
500,Finn (FN-2187),What happened to you?
501,Poe Dameron ,I got thrown from the crash.  I woke up at night. No you. No ship. Nothing. BB-8 says that you saved him.
