,Characters,Script,Test,Gender,length
91,CAPT. PANAKA, There are too many of them,False,Male,6
92,AMIDALA, Either choice presents a great risk...to all of us..,False,Female,9
93,CAPT. PANAKA, We need to free those pilots.,False,Male,6
94,OBI-WAN," I'll take care of that. OBI-WAN heads toward the group of
captured pilots.",False,Male,13
95,GUARD DROID, Where are you going,False,Droid,4
96,RIC OLIE, ....our communications are still jammed.,False,Male,5
97,OBI-WAN, Now stay here and keep out of trouble.,False,Male,8
98,JAR JAR, Ello boyos.  Disa wanna longo trip...hey?,False,Male,6
99,JAR JAR,"  Tis opens?...Oooops! Many springs and things come flying
out.",False,Male,9
100,JAR JAR,  Yoi! Just yoken,False,Male,3
101,RIC OLIE," There's not enough power to get us to Coruscant...the hyperdrive
is leaking",False,Male,12
102,OBI-WAN," Here Master. Tatooine... It's small out of the way poor... The
Trade Federation has no presence there",False,Male,17
103,NUTE," We control all the cities in the North and are searching for any
other settlements..",False,Male,15
104,DARTH SIDIOUS,"  ...Viceroy this is my apprentice. Lord Maul. He
will find your lost ship",False,Male,13
105,CAPT. PANAKA," ...An extremely well put together little droid. Without a
doubt it saved the ship as well as our lives",False,Male,19
106,CAPT. PANAKA, R2-D2 Your Highness,False,Male,3
107,AMIDALA,"  Clean this droid up the best you can. It deserves our
gratitude... Continue Captain.",False,Female,14
108,QUI-GON," Yor Highness we are heading for a remote planet called Tatooine.
It is a system far beyond the reach of the Trade Federation. There we will
be able to make needed repairs then travel on to Coruscant",False,Male,37
109,JAR JAR, Hidoe!,False,Male,1
110,JAR JAR,  Sorry nomeanen to scare yousa,False,Male,5
111,JAR JAR," Mesa Ja Ja Binksss... PADME : I'm Padme I attend Her Highness
You're a Gungan aren't you?  How did you end up here with
us",False,Male,25
112,OBI-WAN, Tahyt's it. Tatooine,False,Male,3
113,JAR JAR, Obi-Wan sire pleeese no mesa go,False,Male,6
114,OBI-WAN,"  The Hyperdrive generator is gone. We will need a new
one.",False,Male,11
115,QUI-GON," Don't let them send ant transmissions. Be wary...I sense a
disturbance in the Force",False,Male,14
116,JAR JAR, Dis sun doen murder tada skin.,False,Male,6
117,CAPT. PANAKA, Wait!,False,Male,1
118,CAPT. PANAKA,"  Her Highness commands you to take her handmaiden
with you. She wishes for her to observe the local..",False,Male,18
119,QUI-GON," ...moisture farms for the most part but also a few indigenous
tribes and scavengers. The few spaceports like this one are havens for
those who do not wish to be found..",False,Male,31
120,JAR JAR," Dissen berry berry bad. 
Ooooh...icky...icky...goo.",False,Male,5
121,QUI-GON, We'll try one of the smaller dealers.,False,Male,7
122,WATTO,  Hi chuba da naga? (What do you want?,False,Male,8
123,WATTO,  Coona tee-tocky malia? (What took you so long?,False,Male,8
124,QUI-GON, Don't touch anything.,False,Male,3
125,ANAKIN, Are you an angel,False,Male,4
126,ANAKIN, You must be one...maybe you just don't know it,False,Male,9
127,ANAKIN, I am a person! My name is Anakin,False,Male,8
128,ANAKIN, You are a strange girl to me.,False,Male,7
129,ANAKIN,  Hit the nose!,False,Male,3
130,WATTO," ...Here it is...a T-14 hyperdrive generator!! Thee in luck I'm the
only one hereabouts who has one...but thee might as well buy a new ship. It
would be cheaper I think...Sying of which how's thee going to pay for all
this",False,Male,41
131,ANAKIN," ...wouldn't have lasted long if I weren't so good at fixing
things. I'm making my own droid...",False,Male,17
132,PADME, I'm glad I met you....ah..,False,Female,5
133,ANAKIN, I'm glad I met you too.,False,Male,6
134,WATTO,"  Ootmians! Tinka me chasa hopoe ma booty na nolia.
(Outlanders! They think because we live so far from the center we don't
know nothing.",False,Male,24
135,QUI-GON," ...Obi-Wan you're sure there isn't anything of value left on
board",False,Male,11
136,JAR JAR," Noah gain...da beings hereabouts cawazy. Wesa be robbed un
crunched",False,Male,10
137,VENDOR, Hey that will be seven truguts!!,False,,6
138,SEBULBA,"  JAR JAR : Who mesa?? SEBULBA :
",False,Male,7
139,JAR JAR,  Why mesa always da one?,False,Male,5
140,ANAKIN,"  Chess ko Sebulba...Coo wolpa tooney rana. (Careful
Sebulba...This one's very connected.)",False,Male,11
141,SEBULBA,"  Tooney rana nu pratta dunko shag. (Connected?? Whada
you mean slave?",False,Male,11
142,ANAKIN,"  Eh chee bana do mullee ra. (Yeah it'd be a pity if
you had to pay for me.)",False,Male,18
143,ANAKIN,"  Hi! Your buddy here was about to be turned into orange
goo. He picked a fight with a Dug. An especially dangerous Dug called
Sebulba",False,Male,25
144,JAR JAR, Mesa doen nutten,False,Male,3
145,OBI-WAN, This storm's going to slow them down,False,Male,7
146,CAPT. PANAKA,  Yes? CAPT. PANAKA : We'll be right there.,False,Male,8
147,ANAKIN, How are you feeling today Jira,False,Male,6
148,ANAKIN,"  Whoops I thought I had more...Make thgat three I'm not
hungry.",False,Male,11
149,JIRA," Gracious my bones are aching...storm's coming on Annie. You'd
better get home quick",False,,13
150,ANAKIN, Mom! Mom! I'm home,False,Male,4
151,SHMI, Oh my!! Annie what's this,False,,5
152,QUI-GON, Your son was kind enough to offer us shelter,False,Male,9
153,QUI-GON, I have enough food for a meal,False,Male,7
154,ANAKIN, Isn't he great?! He's not finished yet,False,Male,7
155,THREEPIO," How do you do I am See-Threepio Human Cyborg Relations. How
might I serve you",False,Droid,15
156,THREEPIO, I beg your pardon....what do you mean I'm naked?,False,Droid,9
157,THREEPIO,"  My parts are showing? Oh my goodness. How
embarrassing!",False,Droid,9
158,BIBBLE," ...cut off all food supplies until you return...the death toll is
catastrophic...we must bow to their wishes Your Highness...Please tell us
what to do! If you can hear us Your Highness you must contact me...",False,,35
159,OBI-WAN, It's a trick. Send no reply... Send no transmission of any kind.,False,Male,12
160,OBI-WAN, ...the Queen is upset...but absolutly no reply was sent,False,Male,9
161,DARTH MAUL," Tatooine is sparsely populated. If the trace was correct I
will find them quickly Master",False,Male,15
162,SHMI, All slaves have transmitters placed inside their bodies somewhere,False,,9
163,JAR JAR, How wude,False,Male,2
164,ANAKIN, Have you ever seen a Podrace?,False,Male,6
165,QUI-GON, They have Podracing on Malastare. Very fast very dangerous,False,Male,9
166,ANAKIN,"  Mom what? I'm not bragging. It's true. Watto says he's
never heard of a human doing it",False,Male,17
167,QUI-GON,  Don't do that again.,False,Male,4
168,ANAKIN, I...I was wondering...something..,False,Male,3
169,QUI-GON, Perhaps I killed a Jedi and stole it from him,False,Male,10
170,QUI-GON," I can see there's no fooling you... You mustn't
let anyone know about us...we're on our way to Coruscant the central
system in the Republic on a very important mission and it must be kept
secret",False,Male,36
171,SHMI," I don't want you to race Annie...It's awful. I die every time Watto
makes you do it.",False,,17
172,ANAKIN," But Mom I love it...and they need help...they're in trouble. The
prize money would more than pay for the parts they need. JAR JAR : Wesa ina
pitty bad goo",False,Male,30
173,ANAKIN," We have to help them Mom...you said that the biggest problem in
the universe is no one helps each other..",False,Male,20
174,PADME," I'm sure Qui-Gon doesn't want to put your son in danger. We will
find another way..",False,Female,16
175,PADME," Are you sure about this? Trusting our fate to a boy we hardly know.
The Queen will not approve",False,Female,19
176,WATTO, Patta go bolla,False,Male,3
177,WATTO," The boy tells me you wanta sponser hi insa race. You can't afford
parts. How can you do this? Not on Republic credits I think. (he laughs",False,Male,27
178,WATTO, Not bad...not bad...a Nubian,False,Male,4
179,ANAKIN," Ahhhh....it wasn't my fault really...Sebulba flashed me with his
vent ports. I actually saved the Pod...mostly",False,Male,16
180,QUI-GON,  Either way you win,False,Male,4
181,OBI-WAN," What if this plan fails Master? We could be stuck here for a
long time",False,Male,15
182,QUI-GON," You should be proud of your son. He gives without any thought of
reward",False,Male,14
183,ANAKIN," Padme and Jar Jar this is my friend Kitster and seek Amee and
Wald.",False,Male,14
184,NUTE, Wow a real Astro Droid...how'd you get so lucky,False,Male,9
185,ANAKIN, Hey! Jar Jar! Stay away from those energy binders..,False,Male,9
186,JAR JAR, Ouch-dats muy bigo Oucho. (Gibberish,False,Male,5
187,QUI-GON," I think it's time we found out. Use this power charge. ANAKIN :
Yes sir!!",False,Male,15
188,QUI-GON, Sit still Annie. Let me clean this cut,False,Male,8
189,QUI-GON, There good as new...,False,Male,4
190,SHMI,  Annie bedtime!,False,,2
191,ANAKIN, What are you doing,False,Male,4
192,QUI-GON,  Obi-Wan..,False,Male,1
193,PADME, I hope you're about finished.,False,Female,5
194,ANAKIN, You were in my dream...you were leading a huge army into battle,False,Male,12
195,ANAKIN, Hook 'em up Kitster.  I won't be long. Where's Qui-Gon?,False,Male,10
196,PADME, He and Jar Jar left already. They're with Watto at the arena.,False,Female,12
197,WATTO, ...I want to see your spaceship the moment the race is over,False,Male,12
198,WATTO," Don't get me wrongo. I have great faith in the boy. He's a credit
to your race but Sebulba there is going to win I think",False,Male,26
199,QUI-GON,  For the fastest Pod ever built?!,False,Male,6
200,QUI-GON,  Both or no bet,False,Male,4
201,WATTO, We'll let fate decide. Blue it's the boy red his mother...,False,Male,11
202,WATTO,"  You won the small toss outlander bou you won't win the
race so...it makes little difference.",False,Male,16
203,WATTO,"  Bonapa keesa pateeso o wanna meetee chobodd.
",False,Male,7
204,ANAKIN, What did he mean by that?,False,Male,6
205,QUI-GON, I'll tell you later.,False,Male,4
206,THREEPIO, Oh my! Space travel sounds rather perilous.,False,Droid,7
207,THREEPIO," I can assure you they will never get me onto one of those
dreadful starships",False,Droid,15
208,ANAKIN, ...but Kitster's right I will this time,False,Male,7
209,FODE/BEED," -
A: Toogi! Toogie!  Toong mee cha kulkah du Boonta magi! tah oos
azalus ooval Poddraces. (We have perfect weather today for the Boonta
classic. The most hazardous of all Podraces.)
B : That's absolutly right. And a big turnout here from all corners of the
Outer Rim territories. I see the contestants are making their way out onto
the starting grid.",False,Male,62
210,FODE/BEED," -

B : I see Ben Quadinaros from the Tund system.
A : ...eh Gasgano doowa newpa Ord Petrovia! (And Gasgano in thenew Ord
Pedrovia.)
B : Two time winner Boles Roor...
A : Poo tula moosta woe grane champio Sebulba du Pixelito! Splastyleeya
bookie ookie!! (On the front line the reigning champion Sebulba from
Pixelito. By far the favorite today.)
B : And a late entry Anakin Skywalker a local boy.
A : Wampa peedunkee unko 
B : I see the flaggers are moving onto the track.",False,Male,88
211,FODE/BEED," -
A : O grandio lust Jabba Du Hutt amu intoe tah parena. (His honor our
glorious host Jabba the Hutt has entered the arena.)",False,Male,25
212,JABBA,"  Chowbaso! Tam ka chee Boonta rulee ya kee madda
hodrudda du wundee.  Sebulba tuta Pixelito...",False,Male,15
213,SHMI, Be safe,False,,2
214,JABBA," ...Mawhonic tuta Hok Teemto Pagalies tuta Moonus Mandel Anakin
SKywalker tuta Tatoonine....",False,Male,12
215,JAR JAR, Dis berry loony Annie. May da guds be kind mesa palo.,False,Male,11
216,PADME, You carry all our hopes,False,Female,5
217,SEBULBA," Bazda wahota shag. Dobiella Nok. Yoka to Bantha poodoo. 9You
won't walk away from this one slave scum! You're Bantha poodoo.",False,Male,21
218,JABBA," ...Ka bazza kundee hodrudda! (...Let the challenge
begin!)",False,Male,8
219,QUI-GON," Are you all set Annie?  Remember concentrate on
the moment. Feel. Don't think. Trust your instincts.  May the
Force be with you.",False,Male,22
220,JAR JAR, Mesa no watch. Dissen ganna be messy,False,Male,7
221,SHMI, Is he nervous,False,,3
222,FODE/BEED," -
B : Start your engines.",False,Male,6
223,FODE/BEED," - 
A : An dare ovv! 
B : Oh...wait. Little Skywalker has stalled.",False,Male,13
224,FODE/BEED," - 
B : And there goes Skywalker... He'll be hard pressed to catch up with the
leaders today.",False,Male,18
225,FODE/BEED," -
B : Looks like a few Tusken Riaders have campe out on the canyon dune turn.",False,Male,17
226,JAR JAR, Where's Skywalker?,False,Male,2
227,FODE/BEED," - 
B ; There goes Quadinaros' power couplings.
A : Sebulba! Ka pa me cheespa wata! ",False,Male,16
228,JAR JAR, He musta crash-ud,False,Male,3
229,THREEPIO, He has to complete two more circuits? Oh dear!,False,Droid,9
230,FODE/BEED," - 
B : It looks like Skywalker is moving up through the field. He's in...
A : Steeth pa nagoola! ",False,Male,20
231,FODE/BEED," - 
A : Ody Mandrell! Coona wa wunda dunko! (Ody Mandrell into the pits for
some attention.",False,Male,17
232,FODE/BEED," - 
B :At the start of the third and final lap Sebulba is in the lead closely
followed by Skywalker...",False,Male,20
233,FODE/BEED," - 
B : Skywalker is forced onto the service ramp!
A : Oh noah!",False,Male,14
234,FODE BEED," - 
B : Amazing... a controlled thrust and he's back on course! What a move!",False,,15
235,FODE/BEED," - 
B : He's catching Sebulba.
A : Inkabunga. ",False,Male,9
236,FODE/BEED," - 
B : That little human being is out of his mind.
A : Punda tah punda! 
B : They're side by side!
A : Bongo du bongu! ",False,Male,28
237,FODE/BEED," -
B : It's Skywalker! The crowd are going nuts! Oh Ah Oh Ah (rock head in
tandem with partner)",False,Male,20
238,WATTO," You! You swindled me! You knew the boy was going to win! Somehow
you knew it! I lost everything.",False,Male,19
239,QUI-GON," Whenever you gamble my freind eventually you'll lose. Bring the
parts to the main hanger. I'll come by your shop later so you can release
the boy",False,Male,27
240,ANAKIN, Ah gee...enough of this..,False,Male,4
241,QUI-GON," Padme. Jar Jar let's go we've got to get these parts back to
the ship.",False,Male,15
242,QUI-GON,  I'll return the eopies by midday.,False,Male,6
243,QUI-GON," Start getting this hyperdrive generator installed. I'm going
back...some unfinished business. I won't be long",False,Male,15
244,QUI-GON, What's this,False,Male,2
245,WALD, Keep this up Greedo and you're gonna come to a bad end.,False,,12
246,QUI-GON, These are yours. We sold the Pod,False,Male,7
247,ANAKIN, Mom he sold the Pod. Look at all the money we have!,False,Male,12
248,SHMI, Oh my goodness That's wonderful,False,,5
249,ANAKIN," Did you hear that Mom?  Was that part of the prize
or what",False,Male,13
250,QUI-GON," Anakin training to be a Jedi will not be a easy challenge. And
if you succeed it will be a hard life",False,Male,22
251,ANAKIN, I want to go,False,Male,4
252,ANAKIN,"  What about Mom? Is she free too? You're coming aren't
you Mom
QUI-GON : I tried to free your mother Annie but Watto wouldn't have it",False,Male,26
253,SHMI," Son my place is here. My future is here. It is time for you to let
go...to let go of me. I cannot go with you",False,,26
254,ANAKIN, I'm going to miss you so much Mom..,False,Male,8
255,SHMI,  Thank you,False,,2
256,ANAKIN, Well Threepio I'm free...and I'm going away...in a starship..,False,Male,9
257,THREEPIO, Sell me?!?,False,Droid,2
258,NUTE," There are so many of us who want you to stay Annie... You're a
hero",False,Male,15
259,NUTE, Well,False,Male,1
260,ANAKIN,  I can't do it Mom. I just can't.,False,Male,8
261,SHMI," Annie remember when you climbed the great dune in order to chase
the Banthas away so they wouldn't be shot... Remember how you collapses
several times exhausted thinking you couldn't do it?",False,,32
262,SHMI,"  This is one of those times when you have to do something
you don't think you can do. I know how strong you are Annie. I know you
can do this..",False,,31
263,ANAKIN," I've been freed and I'm going away. Buy yourself a cooling unit
with this... Otherwise I'll worry about you.",False,Male,19
264,JIRA," Can I give you a hug
ANAKIN : Sure.",False,,9
265,JIRA," I'll miss you Annie.. there isn't a kinder boy in the galaxy. You
be careful...",False,,15
266,ANAKIN, What is it,False,Male,3
267,ANAKIN, Master Qui-Gonsir wait!,False,Male,3
268,QUI-GON, Anakin drop!,False,Male,2
269,QUI-GON,  Annie get to the ship! Take off! Go! Go!,False,Male,9
270,ANAKIN, Qui-Gon's in trouble. He says to take off...now!,False,Male,8
271,CAPT. PANAKA, Qui-Gon is in trouble he says to take off,False,Male,9
272,ANAKIN, Are you all right,False,Male,4
273,QUI-GON, We will be patient. Anakin Skywalker meet Obi-Wan Kenobi,False,Male,9
274,QUI-GON," Let's hope this hyperdrive works and Watto didn't get the last
laugh.",False,Male,12
275,NUTE," When are you going to give up this pointless strike? Your Queen is
lost your people are starving and you Governor are going to die much
sooner than your people I'm afraid. Take him away",False,Male,35
276,OOM-9," My troops are in position to begin searching the swamps for these
rumored underwater villages... they will not stay hidden for long.",False,,22
277,PADME, Are you all right,False,Female,4
278,PADME," You're from a warm planet Annie. Too warm for my taste. Space is
cold",False,Female,14
279,PADME," It's beautiful but I don't need this to remember you. Many things
will change when we reach the capital Annie. My caring for you will always
remain",False,Female,27
280,PADME, ...You miss your mother.,False,Female,4
281,RIC OLIE," Coruscant...the capital of the Republic...the entire planet is
one big city",False,Male,11
282,PALPATINE," It is a great gift to see you alive Your Majesty. May I
present Supreme Chancellor Valorum",False,,17
283,PALPATINE," There is a question of precedure but I feel confident we can
overcome it...",False,,14
284,JAR JAR," Da Queens- a bein grossly nice mesa tinks. 
Pitty hot!",False,Male,10
285,QUI-GON," I must speak with the Jei Council immediately Your Honor. The
situation has become more complicated.",False,Male,16
286,JAR JAR, Dissen all pitty odd to my,False,Male,6
287,PALPATINE," ...the Republic is not what it once was. The Senate is full of
greedy squabbling delegates who are only looking out for themselves and
their home sytems. There is no interest in the common good...no civility
only politics...its disgusting. I must be frank Your Majesty there is
little chance the Senate will act on the invasion",False,,56
288,QUI-GON, ...my only conclusion can be that it was a Sith Lord,False,Male,11
289,YODA,  Master Qui-Gon more to say have you,False,Male,7
290,YODA, Trained as a Jedi you request for him,False,Male,8
291,GUARD, May I help you son,False,,5
292,GUARD, The boy is here to see Padme,False,,7
293,ANAKIN, I'd like to speak with Padme if I could,False,Male,9
294,AMIDALA,  Who is it,False,Female,3
295,AMIDALA, I've sent Padme on an errand,False,Female,6
296,ANAKIN,"  I may not see her again...and... I just wanted to say
goodbye",False,Male,12
297,ANAKIN, Thank you Your Highness. I'm sorry to have disturbed you.,False,Male,10
298,PALPATINE," If the Federation moves to defer the motion...Your Majesty
Ibeg of you to ask for a resolution to end this congressional session",False,,22
299,PALPATINE," Supreme Chancellor delegates of the Senate. A tragedy has
occured on our peaceful system of Naboo. We have become caugt in a dispute
you're all well aware of which began right here with the taxation of trade
routes and has now engulfed our entire planet in the oppresion of the
Trade Federation.",False,,52
300,LOTT DOD, This is outrageous! I object to the Senator's statements,False,,9
301,PALPATINE," To state our allegations I present Queen Amidala the recently
elected ruler of Naboo to speak on our behalf.",False,,19
302,AMIDALA," Honorable representatives of the Republic distinguished
delegates and Your Honor Supreme Chancellor Valorum I come to you under
the gravest of circumstances. The Naboo system has been invaded by force.
Invaded...against all the laws of the Republic by the Droid Armies of the
Trade..",False,Female,44
303,AKS MOE," The Congress of Malastare concurs with the honorable delegate
from the Trade Federation. A commision must be appointed...that is the law",False,,21
304,PALPATINE," Enter the bureaucrats the true rulers of the Republic and on
the payroll of the Trade Federation I might add. This is where Chancellor
Valorum's strength will dissapear",False,,28
305,AMIDALA,"  I will not defer...I have come before you to resolve
this attack on our sovereignty now. I was not elected to watch my people
suffer and die while you discuss this invasion in a committee. If this body
is not capable of action I suggest new leadership is needed. I move for a
""vote of no confidence""...in Chancellor Valorum's leadership",False,Female,60
306,MAS AMEDDA, Order! We shall have order...,False,,5
307,BAIL ORGANA," Alderaan seconds the motion for a vote of no confidence in
Chancellor Valorum",False,,13
308,BAIL ORGANA," There must be no delays. The motion is on the floor and must
be voted upon in this session",False,,19
309,ASSEMBLY, Vote now! Vote now! Vote now!,False,,6
310,PALPATINE," You see Your Majaesty the tide is with us...Valorum will be
voted out I assure you and they will elect in a new Chancellor a strong
Chancellor one who will not let our tragedy continue..",False,,35
311,VALORUM," Palpatine I thought you were my ally...my friend. You have
betrayed me! How could you do this?",False,,17
312,OBI-WAN," The boy will not pass the Council's tests Master and you know
it. He is far too old",False,Male,18
313,ANAKIN, A ship...a cup...a speeder.,False,Male,4
314,YODA, Good good young one. How feel you,False,Male,7
315,YODA, See through you we can,False,Male,5
316,JAR JAR, Mesa wonder why da guds invent pain,False,Male,7
317,CAPT. PANAKA," Your Highness Senator Palpatine has been nominated to
succeed Valorum as Supreme Chancellor",False,Male,13
318,YODA, ...Correct you were Qui-Gon,False,Male,4
319,MACE WINDU, No. He will not be trained.,False,Male,6
320,QUI-GON, No??!!,False,Male,1
321,MACE WINDU, He is too old. There is already too much anger in him,False,Male,12
322,YODA, An apprentice you have Qui-Gon. Impossible to take on a second,False,Male,11
323,QUI-GON," Headstrong....and he has much to learn about the living Force
but he is capabe. There is little more he will learn from me",False,Male,23
324,YODA, Young Skywalker's fate will be decided later,False,Male,7
325,OBI-WAN, It is not disrespect Master it is the truth,False,Male,9
326,QUI-GON,"  Your Highness it is our pleasure to continue to serve
and protect you",False,Male,13
327,JAR JAR, Wesa goen home!,False,Male,3
328,DARTH SIDIOUS," The Queen is on her way to you. I regret she is of no
further use to us. When she gets there destroy her",False,Male,24
329,RUNE, A Sith lord here with us?!!,False,,6
330,ANAKIN, ...and that one,False,Male,3
331,CAPT. PANAKA," The moment we land the Federation will arrest you and force
you to sign the treaty",False,Male,16
332,JAR JAR, Mesa Your Highness,False,Male,3
333,PANAKA, The blockade's gone,False,,3
334,ANAKIN, Hi! Where have you been,False,Male,5
335,OBI-WAN, Jar Jar is on his way to the Gungan city Master.,False,Male,11
336,QUI-GON, Good.,False,Male,1
337,OBI-WAN, Do you think the Queen's idea will work,False,Male,8
338,QUI-GON," You have been a good apprentice. You are much wiser than Iam
Obi-Wan. I foresee you will become a great Jedi Knight.",False,Male,22
339,JAR JAR, Ello! Where das everybody?,False,Male,4
340,JAR JAR," Dare-sa nobody dare. All gone. Some kinda fight I tink. Sorry
no Gungas...no Gungas",False,Male,14
341,JAR JAR, Dissen it.,False,Male,2
342,JAR JAR,  Heyo-dalee Captain Tarpals,False,Male,3
343,CAPT. TARPALS, Ouch time Binks... Ouch time for all-n youse.,False,,8
344,BOSS NASS, Jar Jar yousa payen dis time. Who's da uss-en others??,False,Male,10
345,AMIDALA, I am Queen Amidala of the Naboo...I come before you in peace,False,Female,12
346,AMIDALA, We wish to form an alliance...,False,Female,6
347,PADME, Your Honor...,False,Female,2
348,BOSS NASS, Whosa dis,False,Male,2
349,PADME,"  ...I am sorry for my deception but under the
circumstances it has become necessary to protect myself. Although we do not
always agree Your Honor our two great societies have always lived in
peace...until now. The Trade Federation has destroyed all that we have
worked so hard to build. You are in hiding my people are in camps. If we
do not act quickly all will be lost forever...I ask you to help us...no I
beg you to help us.",False,Female,80
