,Script,Characters,Dialogue,test_1
462,KRENNIC: Jedha. Saw Gerrera.His band of fanatics. Their Holy City. The last reminder of the Jedi. Gone. GALEN: You'll never win.,KRENNIC, Jedha. Saw Gerrera.His band of fanatics. Their Holy City. The last reminder of the Jedi. Gone. GALEN: You'll never win.,True
548,DRAVEN:To lure our forces into a final battle. To destroy us once and for all. VASPAR:To risk everything based on what? The testimony of a criminal? The dying words of her father an Imperial scientist?,DRAVEN,To lure our forces into a final battle. To destroy us once and for all. VASPAR:To risk everything based on what? The testimony of a criminal? The dying words of her father an Imperial scientist?,True
554,REBEL: Yes. JYN:Every moment you waste is another step closer to the ashes of Jedha.,REBEL, Yes. JYN:Every moment you waste is another step closer to the ashes of Jedha.,True
577,CASSIAN: But I do. I believe you.We'd like to volunteer. Some of us... ... most of us we've done terrible things on behalf of the Rebellion. We're spies. Saboteurs. Assassins. Everything I did I did for the Rebellion. And every time I walked away from something I wanted to forget I told myself it was for a cause that I believed in. A cause that was worth it. Without that we're lost.Everything we've done would have been for nothing. I couldn't face myself if I gave up now.  of us could. It won't be comfortable. BODHI:It'll be a bit cramped but we'll all fit.We could go.,CASSIAN, But I do. I believe you.We'd like to volunteer. Some of us... ... most of us we've done terrible things on behalf of the Rebellion. We're spies. Saboteurs. Assassins. Everything I did I did for the Rebellion. And every time I walked away from something I wanted to forget I told myself it was for a cause that I believed in. A cause that was worth it. Without that we're lost.Everything we've done would have been for nothing. I couldn't face myself if I gave up now.  of us could. It won't be comfortable. BODHI:It'll be a bit cramped but we'll all fit.We could go.,True
608,BODHI: Or stolen. JYN:And if they have?,BODHI, Or stolen. JYN:And if they have?,True
617,K2-SO: Impressive. JYN: I'll tell the others.,K2-SO, Impressive. JYN: I'll tell the others.,True
640,INSPECTOR: That would be helpful. BODHI: It's just down here.,INSPECTOR, That would be helpful. BODHI: It's just down here.,True
690,BLUE LEADER: Stop right there Private. MON MOTHMA: Let him speak.,BLUE LEADER, Stop right there Private. MON MOTHMA: Let him speak.,True
691,REBEL: Intercepted Imperial transmission ma'am. Rebels on Scarif. MON MOTHMA: I need to speak to Admiral Raddus.,REBEL, Intercepted Imperial transmission ma'am. Rebels on Scarif. MON MOTHMA: I need to speak to Admiral Raddus.,True
716,CHIRRUT: Run! REBEL:Retreat. Retreat!,CHIRRUT, Run! REBEL:Retreat. Retreat!,True
735,BLUE EIGHT: We won't have long. SHIELD OFFICER: Close the field aperture now. Close it!,BLUE EIGHT, We won't have long. SHIELD OFFICER: Close the field aperture now. Close it!,True
758,BODHI:They closed the shield gate we're stuck here. But the rebel fleet is pulling in.We just have to get a signal strong enough to get through to them and let them know we're trapped down here. For that we have to connect to the communications tower. Now I can patch us in over here the landing pad but you have to get on the radio get one of the guys out there to find a master switch. Get them to activate the connection between us and that comm tower. REBEL: Okay.,BODHI,They closed the shield gate we're stuck here. But the rebel fleet is pulling in.We just have to get a signal strong enough to get through to them and let them know we're trapped down here. For that we have to connect to the communications tower. Now I can patch us in over here the landing pad but you have to get on the radio get one of the guys out there to find a master switch. Get them to activate the connection between us and that comm tower. REBEL: Okay.,True
781,TONC: Melshi. Melshi come in are you there? Bodhi will send a signal from here. He's patching us in.But you guys have to open up a line for the tower. MELSHI: How? Please advise.,TONC, Melshi. Melshi come in are you there? Bodhi will send a signal from here. He's patching us in.But you guys have to open up a line for the tower. MELSHI: How? Please advise.,True
783,MELSHI: Master switch describe what are we looking for? TONC: What does it look like? The master switch? Where is it?,MELSHI, Master switch describe what are we looking for? TONC: What does it look like? The master switch? Where is it?,True
790,RED PILOT: We have no effect on that shield. GOLD PILOT: How much more can that thing take?,RED PILOT, We have no effect on that shield. GOLD PILOT: How much more can that thing take?,True
904,TARKIN: Lord Vader will handle the fleet. Target the base at Scarif. Single reactor ignition. ROMODI: Yes sir.,TARKIN, Lord Vader will handle the fleet. Target the base at Scarif. Single reactor ignition. ROMODI: Yes sir.,True
